Attendus et repères (officiel),
https://cache.media.eduscol.education.fr/file/Attendus_et_reperes_C2-3-4/74/6/16-Maths-4e-attendus-eduscol_1114746.pdf,
Nombres,
4C30,Il utilise les puissances de 10 d’exposants positifs ou négatifs.
4C32,"Il associe, dans le cas des nombres décimaux, écriture décimale, écriture fractionnaire et notation scientifique."
4C31,Il utilise les préfixes de nano à giga.
,Il utilise les carrés parfaits de 1 à 144.
,Il connaît la définition de la racine carrée d’un nombre positif.
4C33,Il utilise les puissances d’exposants strictement positifs d’un nombre pour simplifier l’écriture des produits.
Comparaison de nombres,
,Il utilise des puissances de 10 pour comparer des nombres.
4C20,"Il compare, range et encadre des nombres rationnels (positifs ou négatifs)."
,Il encadre la racine carrée d’un nombre positif entre deux entiers.
,Il associe à des objets des ordres de grandeur en lien avec d’autres disciplines.
"Pratiquer le calcul exact ou approché, mental, à la main ou instrumenté",
4C10,"Il effectue avec des nombres décimaux relatifs, des produits et des quotients."
4C21,"Il calcule avec les nombres rationnels : addition, soustraction, multiplication, division."
4C22,Il utilise l’inverse pour calculer.
4C24,Il résout des problèmes avec des nombres rationnels.
,Il utilise la calculatrice pour déterminer une valeur approchée de la racine carrée d’un nombre positif.
4G20,"Il utilise la racine carrée d’un nombre positif en lien avec des situations géométriques (théorème de Pythagore ; agrandissement, réduction et aires)."
,Il utilise les ordres de grandeur pour vérifier ses résultats.
Comprendre et utiliser les notions de divisibilité et de nombres premiers,
,Il détermine la liste des nombres premiers inférieurs à 100.
,Il décompose un nombre entier en produit de facteurs premiers.
4C23,Il utilise les nombres premiers inférieurs à 100 pour reconnaître et produire des fractions égales ; pour simplifier des fractions.
,Il modélise et résout des problèmes simples mettant en jeu les notions de divisibilité et de nombre premier.
Utiliser le calcul littéral,
,"Il identifie la structure d’une expression littérale (somme, produit)."
4L10/4L11,"Il utilise la propriété de distributivité simple pour développer un produit, factoriser une somme ou réduire une expression littérale."
4L12,Il démontre l’équivalence de deux programmes de calcul.
4L13,Il introduit une lettre pour désigner une valeur inconnue et met un problème en équation.
4L14,Il teste si un nombre est solution d’une équation.
