Attendus et repères (officiel),
https://cache.media.eduscol.education.fr/file/Attendus_et_reperes_C2-3-4/74/8/18-Maths-3e-attendus-eduscol_1114748.pdf,
Nombres et calculs 3e,
Nombres,
3N10,Il utilise les puissances d’exposants positifs ou négatifs pour simplifier l’écriture des produits.
"Pratiquer le calcul exact ou approché, mental, à la main ou instrumenté",
3N11,"Il calcule avec les nombres rationnels, notamment dans le cadre de résolution de problèmes"
3N12,Il résout des problèmes mettant en jeu des racines carrées.
3N13,"Il résout des problèmes avec des puissances, notamment en utilisant la notation scientifique"
Comprendre et utiliser les notions de divisibilité et de nombres premiers,
3A10,"Il décompose un nombre entier en produit de facteurs premiers (à la main, à l’aide d’un tableur ou d’un logiciel de programmation)."
3A11,Il simplifie une fraction pour la rendre irréductible.
3A12,"Il modélise et résout des problèmes mettant en jeu la divisibilité (engrenages, conjonction de phénomènes...)."
Utiliser le calcul littéral,
3L10,Il détermine l’opposé d’une expression littérale
3L11,"Il développe (par simple et double distributivités), factorise, réduit des expressions algébriques simples."
3L12,Il factorise une expression du type a2-b2et développe des expression du type (a+b)(a-b).
,Il résout algébriquement différents types d’équations:
3L13,-équation du premier degré;
3L14,-équation s’y ramenant (équations produits);
3L15,-équations de la forme x2= a sur des exemples simples.
3L15,"Il résout des problèmes s’y ramenant, qui peuvent être internes aux mathématiques ou en lien avec d’autres disciplines."
"Organisation et gestion de données, fonctions",
"Interpréter, représenter et traiter des données",
3S10,"Il lit, interprète et représente des données sous forme d’histogrammes pour des classes de même amplitude."
3S11,"Il calcule et interprète l’étendue d’une série présentée sous forme de données brutes, d’un tableau, d’un diagramme en bâtons, d’un diagramme circulaire ou d’un histogramme."
3S12,Il calcule des effectifs et des fréquences.
Comprendre et utiliser des notions élémentaires de probabilités,
3S20,"À partir de dénombrements, il calcule des probabilités pour des expériences aléatoires simples à une ou deux épreuves."
3S21,Il fait le lien entre stabilisation des fréquences et probabilités.
Résoudre des problèmes de proportionnalité,
3F22,Il modélise une situation de proportionnalité à l’aide d’une fonction linéaire.
3P10,Il utilise le lien entre pourcentage d’évolution et coefficient multiplicateur.
3P11,Il résout des problèmes en utilisant la proportionnalité dans le cadre de la géométrie.
Comprendre et utiliser la notion de fonction,
3F10,Il utilise les notations et le vocabulaire fonctionnels.
3F11,Il passe d’un mode de représentation d’une fonction à un autre.
3F12,"Il détermine, à partir de tous les modes de représentation, l’image d’un nombre."
3F13,Il détermine un antécédent à partir d‘une représentation graphique ou d’un tableau de valeurs d’une fonction.
3F14,"Il détermine de manière algébrique l’antécédent par une fonction, dans des cas se ramenant à la résolution d’une équation du premier degré."
3F15,"Il représente graphiquement une fonction linéaire, une fonction affine."
3F16,Il interprète les paramètres d’une fonction affine suivant l’allure de sa courbe représentative.
3F17,Il modélise un phénomène continu par une fonction.
3F18,Il modélise une situation de proportionnalité à l’aide d’une fonction linéaire.
3F19,Il résout des problèmes modélisés par des fonctions en utilisant un ou plusieurs modes de représentation.
Grandeurs et mesures,
Calculer avec des grandeurs mesurables ; exprimer les résultats dans les unités adaptées,
3G42,Il calcule le volume d’une boule.
3G43,Il calcule les volumes d’assemblages de solides étudiés au cours du cycle.
3P11,"Il mène des calculs sur des grandeurs mesurables, notamment des grandeurs composées, et exprime les résultats dans les unités adaptées."
3P12,Il résout des problèmes utilisant les conversions d’unités sur des grandeurs composées.
3P13,Il vérifie la cohérence des résultats du point de vue des unités pour les calculs de grandeurs simples ou composées.
Comprendre l’effet de quelques transformations sur les figures géométriques,
3G14,"Il calcule des grandeurs géométriques (longueurs, aires et volumes) en utilisant les transformations (symétries, rotations, translations, homothétie)."
,"Il résout des problèmes en utilisant la proportionnalité en géométrie dans le cadre de certaines configurations ou transformations (agrandissement, réduction, triangles semblables, homothéties)."
Représenter l’espace,
3G40,"Il se repère sur une sphère (latitude, longitude)."
3G41,"Il construit et met en relation différentes représentations des solides étudiés au cours du cycle (représentations en perspective cavalière, vues de face, de dessus, en coupe, patrons) et leurs sections planes."
Utiliser les notions de géométrie plane pour démontrer,
3G20,le théorème de Thalès et sa réciproque dans la configuration papillon ;
3G22,les triangles semblables : une définition et une propriété caractéristique ;
3G30,"les lignes trigonométriques dans le triangle rectangle : cosinus, sinus, tangente,"
3G10,il transforme une figure par rotation  et il comprend l’effet d’une rotation.
